VaccinationDate,age_group,first_dose,second_dose
12/20/2020,20-29,392,0
12/20/2020,80-89,93,0
12/20/2020,0-19,21,0
12/20/2020,60-69,1516,0
12/20/2020,50-59,1786,0
12/20/2020,40-49,1867,0
12/20/2020,30-39,1197,0
12/20/2020,90+,7,0
12/20/2020,70-79,493,0
12/21/2020,0-19,67,0
12/21/2020,20-29,1064,0
12/21/2020,40-49,3784,0
12/21/2020,80-89,1164,0
12/21/2020,70-79,4886,0
12/21/2020,90+,167,0
12/21/2020,60-69,7283,0
12/21/2020,30-39,2779,0
12/21/2020,50-59,3690,0
12/22/2020,90+,456,0
12/22/2020,80-89,3498,0
12/22/2020,50-59,4663,0
12/22/2020,20-29,1575,0
12/22/2020,0-19,102,0
12/22/2020,70-79,11763,0
12/22/2020,40-49,4530,0
12/22/2020,60-69,14430,0
12/22/2020,30-39,3589,0
12/23/2020,0-19,160,0
12/23/2020,20-29,2123,0
12/23/2020,90+,1027,0
12/23/2020,40-49,5033,0
12/23/2020,30-39,3847,0
12/23/2020,70-79,18009,0
12/23/2020,80-89,5674,0
12/23/2020,50-59,5334,0
12/23/2020,60-69,21607,0
12/24/2020,0-19,202,0
12/24/2020,30-39,3780,0
12/24/2020,70-79,21763,0
12/24/2020,40-49,5193,0
12/24/2020,80-89,7675,0
12/24/2020,60-69,25637,0
12/24/2020,90+,1349,0
12/24/2020,50-59,5658,0
12/24/2020,20-29,2069,0
12/25/2020,80-89,4533,0
12/25/2020,90+,764,0
12/25/2020,20-29,753,0
12/25/2020,0-19,126,0
12/25/2020,50-59,2967,0
12/25/2020,60-69,13403,0
12/25/2020,70-79,12283,0
12/25/2020,40-49,2240,0
12/25/2020,30-39,1372,0
12/26/2020,90+,691,0
12/26/2020,20-29,482,0
12/26/2020,30-39,970,0
12/26/2020,70-79,10606,0
12/26/2020,40-49,1678,0
12/26/2020,60-69,11901,0
12/26/2020,50-59,2404,0
12/26/2020,0-19,92,0
12/26/2020,80-89,3749,0
12/27/2020,50-59,10031,0
12/27/2020,30-39,6044,0
12/27/2020,60-69,32937,0
12/27/2020,40-49,8432,0
12/27/2020,90+,2388,0
12/27/2020,70-79,28543,0
12/27/2020,80-89,11875,0
12/27/2020,20-29,3579,0
12/27/2020,0-19,492,0
12/28/2020,40-49,13371,0
12/28/2020,60-69,40007,0
12/28/2020,90+,2611,0
12/28/2020,80-89,13680,0
12/28/2020,50-59,14781,0
12/28/2020,70-79,32873,0
12/28/2020,30-39,9509,0
12/28/2020,20-29,6669,0
12/28/2020,0-19,1263,0
12/29/2020,50-59,18545,0
12/29/2020,40-49,16186,0
12/29/2020,60-69,43974,0
12/29/2020,30-39,11478,0
12/29/2020,70-79,35896,0
12/29/2020,90+,4365,0
12/29/2020,80-89,16458,0
12/29/2020,0-19,1448,0
12/29/2020,20-29,7548,0
12/30/2020,50-59,21016,0
12/30/2020,0-19,1451,0
12/30/2020,80-89,15459,0
12/30/2020,70-79,32957,0
12/30/2020,90+,3897,0
12/30/2020,20-29,8211,0
12/30/2020,60-69,42042,0
12/30/2020,30-39,11584,0
12/30/2020,40-49,16076,0
12/31/2020,20-29,9660,0
12/31/2020,50-59,26920,0
12/31/2020,30-39,13719,0
12/31/2020,40-49,19267,0
12/31/2020,70-79,29631,0
12/31/2020,60-69,38838,0
12/31/2020,0-19,1805,0
12/31/2020,80-89,14530,0
12/31/2020,90+,3766,0
1/1/2021,60-69,17552,0
1/1/2021,40-49,9356,0
1/1/2021,80-89,6122,0
1/1/2021,0-19,821,0
1/1/2021,20-29,3322,0
1/1/2021,70-79,12480,0
1/1/2021,90+,1478,0
1/1/2021,50-59,14359,0
1/1/2021,30-39,5735,0
1/2/2021,80-89,5430,0
1/2/2021,0-19,858,0
1/2/2021,50-59,18327,0
1/2/2021,20-29,3343,0
1/2/2021,90+,1629,0
1/2/2021,60-69,14323,0
1/2/2021,30-39,5568,0
1/2/2021,70-79,10361,0
1/2/2021,40-49,11770,0
1/3/2021,20-29,9785,0
1/3/2021,50-59,28657,0
1/3/2021,90+,2965,0
1/3/2021,80-89,12985,0
1/3/2021,0-19,2143,0
1/3/2021,70-79,25684,0
1/3/2021,30-39,12609,0
1/3/2021,60-69,35335,0
1/3/2021,40-49,19232,0
1/4/2021,30-39,14083,0
1/4/2021,70-79,23438,0
1/4/2021,80-89,12094,0
1/4/2021,20-29,11295,0
1/4/2021,0-19,2267,0
1/4/2021,60-69,32208,0
1/4/2021,50-59,30943,0
1/4/2021,90+,2664,0
